"","intercambio","genero","uni","conocimiento_intercambio","prendas_entrada","prendas_salida","puntos_entrada","puntos_salida","hora_inscripcion","destacable_evento","repetidor","puntos_extra","puntos_antes","hora_entrada","fiel_intercambio","entrada_prenda_1","entrada_prenda_2","entrada_prenda_3","entrada_prenda_4","entrada_prenda_5","hora_salida","salida_prenda_1","salida_prenda_2","salida_prenda_3","salida_prenda_4","salida_prenda_5","salida_prenda_6","salida_prenda_7","salida_prenda_8","salida_prenda_9"
"855","2025_4","Mujer","UC3M",NA,5,7,20,4,2025-04-02 08:05:23,NA,"Varias veces",2,0,"14:02:45","Primer intercambio","Pantalón","Pantalón","Camiseta/Polo/Top","Jersey","Chaqueta","2/04/2025 14:34:31","Falda","Falda","Camiseta/Polo/Top","Camiseta/Polo/Top","Camiseta/Polo/Top","Jersey","","",""
"856","2025_4","Mujer","UPM","Comunicación UC3M",0,0,0,0,2025-04-02 08:22:09,NA,"Primera vez",NA,0,"","Primer intercambio","","","","","","","","","","","","","","",""
"857","2025_4","Mujer","UC3M","Amigo organizador",5,4,17,7,2025-04-02 08:34:17,NA,"Primera vez",NA,0,"12:59:30","Primer intercambio","Jersey","Sudadera","Vestido","Camiseta/Polo/Top","Pantalón","2/04/2025 13:28:59","Camiseta/Polo/Top","Jersey","Vestido","","","","","",""
"858","2025_4","Mujer","No soy de la universidad...","Amigo organizador",4,4,18,8,2025-04-02 09:03:31,NA,"Primera vez",NA,0,"11:59:13","Primer intercambio","Vestido","Vestido","Chaqueta","Jersey","","2/04/2025 12:19:42","Chaqueta","Falda","Complementos","","","","","",""
"859","2025_4","Mujer","UC3M",NA,3,4,11,5,2025-04-02 09:12:21,NA,"Varias veces",2,0,"11:13:45","Primer intercambio","Sudadera","Camiseta/Polo/Top","Pantalón","","","2/04/2025 12:17:52","Camiseta/Polo/Top","Camiseta/Polo/Top","Camiseta/Polo/Top","","","","","",""
"860","2025_4","Mujer","UC3M","Material impreso",5,5,17,4,2025-04-02 09:13:13,NA,"Primera vez",2,0,"11:17:36","Primer intercambio","Pantalón","Pantalón","Sudadera","Pantalón","Camiseta/Polo/Top","2/04/2025 12:18:27","Falda","Camiseta/Polo/Top","Camiseta/Polo/Top","Chaqueta","","","","",""
"861","2025_4","Mujer","UC3M","Comunicación UC3M",5,7,24,10,2025-04-02 09:14:05,NA,"Primera vez",NA,0,"11:15:19","Primer intercambio","Chaqueta","Abrigo","Chaqueta","Sudadera","Camiseta/Polo/Top","2/04/2025 12:19:19","Camiseta/Polo/Top","Camiseta/Polo/Top","Jersey","Camiseta/Polo/Top","Camiseta/Polo/Top","Camiseta/Polo/Top","","",""
"862","2025_4","Mujer","UC3M",NA,4,3,14,6,2025-04-02 09:16:46,NA,"Segunda vez",2,3,"11:19:11","Segundo intercambio","Falda","Camiseta/Polo/Top","Camiseta/Polo/Top","Camiseta/Polo/Top","","2/04/2025 11:53:36","Camiseta/Polo/Top","Chaqueta","","","","","","",""
"863","2025_4","Mujer","UC3M","Amigo organizador",3,3,10,2,2025-04-02 09:23:24,NA,"Primera vez",NA,0,"13:37:10","Primer intercambio","Pantalón","Pantalón","Jersey","","","2/04/2025 14:09:06","Sudadera","Sudadera","","","","","","",""
"864","2025_4","Mujer","UC3M","Amigo organizador",1,0,4,4,2025-04-02 09:23:29,NA,"Primera vez",NA,0,"11:25:25","Primer intercambio","Jersey","","","","","","","","","","","","","",""
